ID,Name,Stoichiometry,Enzyme,Rate law,Rate parameters,Type
Transcription_TU_001,Transcription (MG_001 - MG_002),707 ATP + 283 CTP + 238 GTP + 847 UTP + 1 H2O -> 1 TU_001 + 2075 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_001*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_001 = 0.004739,transcription
Transcription_TU_002,Transcription (MG_003 - MG_004),1401 ATP + 870 CTP + 649 GTP + 1558 UTP + 1 H2O -> 1 TU_002 + 4478 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_002*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_002 = 0.004554,transcription
Transcription_TU_003,Transcription (MG_005 - MG_009),1564 ATP + 719 CTP + 598 GTP + 1865 UTP + 1 H2O -> 1 TU_003 + 4746 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_003*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_003 = 0.003344,transcription
Transcription_TU_004,Transcription (MG_010),231 ATP + 103 CTP + 71 GTP + 252 UTP + 1 H2O -> 1 TU_004 + 657 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_004*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_004 = 0.002632,transcription
Transcription_TU_005,Transcription (MG_011 - MG_012),589 ATP + 253 CTP + 204 GTP + 686 UTP + 1 H2O -> 1 TU_005 + 1732 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_005*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_005 = 0.002640,transcription
Transcription_TU_006,Transcription (MG_013),269 ATP + 127 CTP + 101 GTP + 325 UTP + 1 H2O -> 1 TU_006 + 822 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_006*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_006 = 0.003632,transcription
Transcription_MG471,Transcription (MG471),19 ATP + 21 CTP + 18 GTP + 18 UTP + 1 H2O -> 1 MG471 + 76 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_MG471*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_MG471 = 0.000278,transcription
Transcription_MG472,Transcription (MG472),20 ATP + 20 CTP + 17 GTP + 20 UTP + 1 H2O -> 1 MG472 + 77 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_MG472*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_MG472 = 0.000278,transcription
Transcription_TU_008,Transcription (MG_014 - MG_015),1344 ATP + 593 CTP + 487 GTP + 1264 UTP + 1 H2O -> 1 TU_008 + 3688 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_008*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_008 = 0.002614,transcription
Transcription_TU_009,Transcription (MG_018),1051 ATP + 472 CTP + 373 GTP + 1200 UTP + 1 H2O -> 1 TU_009 + 3096 PPI + 1 H,"MG_249_MONOMER, MG_282_MONOMER, MG_141_MONOMER, RNA_POLYMERASE","k_trn_TU_009*min(RNA_POLYMERASE, MG_282_MONOMER)*ATP*CTP*GTP*UTP/( (1+ATP/Km1_tx) * (1 + CTP/Km2_tx) * (1 + GTP/Km3_tx) * (1 + UTP/Km4_tx) )",k_trn_TU_009 = 0.002632,transcription
